engine,count
2.4L I4 16V MPFI DOHC,49
621.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,49
250.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel,49
166.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,49
146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,49
290.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,49
355.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,48
200.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,48
640.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,48
285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,48
360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,48
275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,48
V8,48
171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,48
285.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,47
305.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,47
298.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,47
300.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,47
602.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,47
325.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,47
362.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,47
444.0HP 2.9L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,46
180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,46
295.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,46
227.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,46
261.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,46
444.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,46
286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,45
729.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,45
365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,45
6.6 Liter Twin Turbo,45
363.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,45
400.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,45
169.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,45
651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,44
4.0 Liter Turbo,44
270.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,44
3.5L V6 24V GDI DOHC,44
275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,44
101.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,44
201.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,44
385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,44
710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,43
153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,43
240.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,43
453.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,43
2.0 Liter DOHC T/C,42
660.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,42
324.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,42
261.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,42
261.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,42
420.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,42
2.5L I4 16V PDI DOHC Hybrid,41
5.3 Liter,41
212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,41
150.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,41
260.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,41
285.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,41
702.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,41
252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,41
181.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,41
260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,41
456.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,40
208.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,40
255.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,40
198.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,40
372.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,40
136.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,40
231.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,39
200.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,39
562.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,39
471.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,39
335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,39
4.2L V8 32V GDI DOHC Twin Turbo,39
266.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,39
1.2L I3 12V GDI DOHC Turbo,39
255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,39
330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,39
360.0HP 6.6L 8 Cylinder Engine Diesel Fuel,39
550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,38
303.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,38
244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,38
212.0HP 1.3L Rotary engine Gasoline Fuel,38
430.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,37
245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,37
290.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,37
483.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,37
281.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,37
400.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,37
107.0HP Electric Motor Electric Fuel System,37
2.7 Liter DOHC Turbo,37
230.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,36
400.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,36
3.6L V6 24V MPFI DOHC Hybrid,36
323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,36
305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,36
162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,36
210.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,35
303.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,35
4.0L,35
416.0HP Electric Motor Electric Fuel System,35
303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,35
3.8L H6 24V MPFI DOHC,35
3.0 Liter SC ULEV,35
382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,35
550.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,35
2.5L H4 16V MPFI DOHC,35
2.0L I4 16V PDI DOHC Turbo,35
1.6L I4 16V GDI DOHC Turbo Hybrid,35
375.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,34
148.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,34
420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,34
469.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,34
300.0HP 6.6L 8 Cylinder Engine Diesel Fuel,34
177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,34
3.6L V6 GDI DOHC,34
247.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,34
186.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,33
150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,33
480.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,33
550.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,33
302.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,33
3.0 Liter GTDI,33
172.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,33
306.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,33
400.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,33
8.0L W16 64V GDI DOHC Twin Turbo,33
180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,33
225.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,33
788.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,33
272.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,33
181.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,32
416.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,32
180.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,32
150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,32
345.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,32
276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,32
295.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,32
265.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,32
255.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,31
362.0HP Electric Motor Electric Fuel System,31
6.8L V12 48V GDI DOHC,31
405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,31
555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,31
340.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,30
215.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,30
355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,30
3.5L 24V SOHC I-VTEC V6,30
345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,30
3.8L V6 24V MPFI DOHC Twin Turbo,30
210.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,30
282.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,30
552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,29
553.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,29
106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,29
2.0L I4 16V GDI DOHC Hybrid,29
808.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,29
152.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,29
3.0L V6 24V PDI DOHC Twin Turbo,29
320.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,29
380.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,29
473.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,29
645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel,28
173.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,28
215.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,28
2.5L I4 16V MPFI DOHC Hybrid,28
420.0HP 5.9L 12 Cylinder Engine Gasoline Fuel,28
170.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,28
201.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,28
212.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,28
221.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,28
3.6 Liter SIDI DOHC,28
650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,28
260.0HP 6.6L 8 Cylinder Engine Diesel Fuel,28
190.0HP 2.8L Straight 6 Cylinder Engine Gasoline Fuel,28
310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,28
482.0HP Electric Motor Electric Fuel System,28
533.0HP Electric Motor Electric Fuel System,28
556.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,27
115.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,27
305.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,27
242.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,27
715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,27
205.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,27
215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,27
401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,27
405.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,27
335.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,27
3.4L H6 24V MPFI DOHC,27
1.6L I4 16V MPFI DOHC,27
5.4 Liter SC DOHC,27
5.4 Liter,26
5.5 Liter,26
243.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,26
225.0HP 4.6L 8 Cylinder Engine Flex Fuel Capability,26
180.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,26
Dual AC Electric Motors,26
176.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,25
326.0HP 5.4L 12 Cylinder Engine Gasoline Fuel,25
120.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,25
4.2L V8 32V GDI DOHC,25
222.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,25
104.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,25
115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,25
357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,24
3.2L V6 24V MPFI DOHC,24
402.0HP Electric Motor Electric Fuel System,24
275.0HP 4.2L Straight 6 Cylinder Engine Gasoline Fuel,24
451.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,24
353.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,24
210.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,24
290.0HP 7.4L 8 Cylinder Engine Gasoline Fuel,24
340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,24
325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,23
175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,23
415.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,23
2.0 Liter Supercharged,23
340.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,23
2.5L 4 Cylinder Engine Gasoline Fuel,23
170.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,23
197.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,23
1.6L I4 16V GDI DOHC Hybrid,23
201.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,23
405.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,23
325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,23
605.0HP 5.7L 10 Cylinder Engine Gasoline Fuel,23
540.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,22
160.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,22
126.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,22
156.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,22
281.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,22
319.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,22
500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,22
250.0HP 3.0L V6 Cylinder Engine Diesel Fuel,22
395.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,22
306.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,21
321.0HP 3.0L V6 Cylinder Engine Gas/Electric Hybrid,21
1.4L I4 16V GDI DOHC Turbo,21
360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,21
156.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,21
211.0HP 2.0L 4 Cylinder Engine Diesel Fuel,21
3.2L H6 24V MPFI DOHC,21
205.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,21
161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,21
271.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,21
310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability,21
109.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,21
192.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,20
417.0HP Electric Motor Electric Fuel System,20
405.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,20
301.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,20
342.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,20
109.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,20
403.0HP 2.0L Electric Motor Electric Fuel System,20
360.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,20
407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,20
355.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,20
6.0L V8 16V MPFI OHV Flexible Fuel,20
691.0HP Electric Motor Electric Fuel System,20
210.0HP 2.0L 4 Cylinder Engine Diesel Fuel,20
221.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,19
6.4L V8 32V DDI OHV Twin Turbo Diesel,19
425.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,19
325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,19
271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,19
260.0HP 3.0L V6 Cylinder Engine Diesel Fuel,19
197.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,19
134.0HP 1.5L 3 Cylinder Engine Gasoline Fuel,19
282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,19
227.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,19
190.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,18
180.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,18
219.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,18
190.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,18
275.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,18
303.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,18
430.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,18
Battery Electric,18
2.0L I4 16V GDI DOHC Flexible Fuel,17
321.0HP Electric Motor Electric Fuel System,17
6.0L V8 16V MPFI OHV,17
1.5 Liter Turbo,17
400.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,17
354.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,17
212.0HP 1.5L 4 Cylinder Engine Plug-In Electric/Gas,17
193.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,17
341.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,16
308.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,16
402.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,16
560.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,16
270.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,16
335.0HP 6.6L 8 Cylinder Engine Diesel Fuel,16
500.0HP Electric Motor Electric Fuel System,15
250.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,15
214.0HP Electric Motor Electric Fuel System,15
320.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,15
174.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,14
5.8L V8 32V MPFI DOHC Supercharged,14
279.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,14
12 Cylinder Engine,14
638.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,14
182.0HP 2.4L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,14
180.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,14
151.0HP Electric Motor Hydrogen Fuel,14
250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,14
239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,14
192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,14
620.0HP Electric Motor Electric Fuel System,13
290.0HP Electric Motor Electric Fuel System,13
1.3L I3 12V MPFI DOHC Turbo,13
134.0HP 1.8L 4 Cylinder Engine Plug-In Electric/Gas,13
450.0HP 4.5L 8 Cylinder Engine Gasoline Fuel,13
495.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,13
138.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,13
76.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,13
161.0HP 2.0L 4 Cylinder Engine Diesel Fuel,12
245.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,12
294.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,12
5.3L V8 16V MPFI OHV Flexible Fuel,12
155.0HP 1.3L 3 Cylinder Engine Gasoline Fuel,12
137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,11
6.2L V8 32V MPFI DOHC,11
317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability,11
182.0HP Electric Motor Hydrogen Fuel,11
316.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,11
145.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,11
147.0HP Electric Motor Electric Fuel System,10
287.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,10
253.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10
444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,10
197.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,10
120 AH,10
154.0HP 2.7L 5 Cylinder Engine Diesel Fuel,10
325.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,9
567.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,9
111.2Ah / FR 70kW / RR 160kW (697V),9
2.5L,9
3.2L V6 18V MPFI SOHC,9
178.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,9
332.0HP 6.0L 8 Cylinder Engine Gas/Electric Hybrid,9
4.4 Liter GDI DOHC Twin Turbo,8
288.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8
180.0HP 6.5L 8 Cylinder Engine Diesel Fuel,8
260.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8
3.0L V6 Cylinder Engine Diesel Fuel,8
318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,8
300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,8
240.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,8
170.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,8
1.8 Liter,7
369.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,7
121.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,7
208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,7
280.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,7
120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,6
275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6
115.0HP Electric Motor Electric Fuel System,6
164.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6
543.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,6
1.6L I4 16V GDI DOHC,6
3.8L V6 12V MPFI OHV,5
250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,5
443.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,5
139.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,5
322.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,5
266.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,5
226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,4
141.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4
151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,4
184.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,4
177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,4
70.0HP 1.0L 3 Cylinder Engine Gasoline Fuel,3
111.0HP Electric Motor Electric Fuel System,3
139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,3
78.0HP 1.2L 3 Cylinder Engine Gasoline Fuel,2
313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,1
